Capterra-Forms-On-Fire
Job Title,Industry,Used For,Overall,Pros,Cons,Date
Business Systems Consultant,"Computer Software, Self-employed",Used the software for: 2+ years,"Overall: I have built a fully comprehensive digital paperwork system with Forms on Fire for a client. It has transformed their business, automating many manual tasks and saving dozens of hours every month ongoing. The return on investment is off the charts. I also love the fact that the support is so responsive and helpful, even when it's a complex question I rarely need to explain more than once, and answers are timely and helpful, often going the extra mile.","Pros: The best thing about Forms on Fire is the flexibility. It's a blank canvas, you can create any type of form you require. With a little bit of technical knowledge it can be made extremely powerful. I appreciate the fact that it isn't aimed at consumers, as other form builder tools are, so it goes straight to the powerful functions needed in a business environment.","Cons: The built in data dashboards and analytics are adequate but not amazing. However these can be bypassed by exporting data to another platform using the integrations or API, and custom dashboards and reporting can be built there.","July 14, 2021"
 Associate Product Manager,"Internet, 201-500 employees",Used the software for: 6-12 months,"Overall: Overall, Forms On Fire is a great tool for businesses or individuals looking for an efficient way to collect and manage data. The intuitive interface and comprehensive feature set make it an ideal choice for those looking to streamline their data collection process. The cost may be a barrier for some, but the powerful features justify the investment.","Pros: Forms On Fire is a powerful and intuitive data collection platform. It offers a wide range of features, including drag-and-drop form building, customizable workflows, and a comprehensive reporting system. The user-friendly interface makes it easy to set up and manage multiple forms quickly and efficiently. It also integrates with existing systems and allows for easy data sharing with third-party applications.","Cons: Although Forms On Fire offers a comprehensive set of features, it may be too complex for some users. The user interface can be a bit intimidating for those who are unfamiliar with web-based applications. Additionally, the cost of the premium version may be too steep for smaller businesses or individuals.","January 6, 2023"
Service Manager,"Hospital & Health Care, 51-200 employees",Used the software for: 2+ years,Pros: The application and backend are easy to use and normally very stable. FoF is great to work with to get issues ironed out or answer questions quickly if there is an issue or a question. ,Cons: It would be nice if the backend was more customizable. ,,"May 23, 2023"
Sales,"Construction, 51-200 employees",Used the software for: 2+ years,"Pros: The software is easy to use, clean interface, and alerts me when I am missing required information","Cons: There are frequent problems whenever we try to make an update, things don't seem to work how we expected them to. Also the documents this platform generates seem to be missing items and we can't figure out how to fix this.",,
Mfg Eng & QC Mgr,"Machinery, 51-200 employees",Used the software for: 6-12 months,"Overall: Very pleased with the ease of developing our forms, distributing, updating, and collecting the uploaded data .The drag and drop interface for forms is outstanding and the help files make it easy to develop any workflow you can imagine, very powerful!","Pros: Our team especially liked the openness of the software programming interface, the associated help files, and the superb customer support whenever we had a question.We knew going in that we would have some""special tasks"" we would need to implement and Forms On Fire appeared to have the best programming system in place to easily make that happen using our own personnel and not requiring the software company to handle everything at additional cost.The system is so easy it just doesn't require that much support, but if you need it, they are there to help!","Cons: I think the website interface could use a few minor improvements like having data view columns maintain their positions between sessions or refreshes, and perhaps a little more development on the dashboard, although we'll probably develop our own that most of the vendors for this type of software simply don't offer.","May 28, 2019"
VP of Operations,"Real Estate, 1-10 employees",Used the software for: 2+ years,"Overall: I've been using FOF for over five years after assessing a number of ""industry"" solutions. They all sucked because they had to be built as a one-size-fits-all solution to apply to any of their customers. This is agile and fast. Everyone on the team loves it and it has generated a ton of cash for us, both in savings on labor/time/decision making, but also in billables that we weren't getting before through damages that lacked supporting documentation. We use this for everything. ","Pros: It allows us to see what's happening in the field (all of the fields) in real-time. It's completely customizable per site so I don't have to build some awful one-size-fits-no-one monstrosity. It's agile, can be changed on the fly, and is super easy to use. It's also affordable and adapts to fit whatever niche needs I may have in my organization. It's a true game-changer and one that's made my life 100x easier than it should for the cost and effort involved.","Cons: The learning curve at the start is decent. It took a few days of trial/error and exploring to unlock the full potential and abilities of what it can do. As it is fully customizable it's not an ""out of the box"" solution but that's truly a good thing. You make up for the initial learning effort by what you can eventually do with it. Spend the time, get to know it, and it will alter your operation in every way.","July 14, 2021"
Tech Services,"Wholesale, 51-200 employees",Used the software for: 6-12 months,"Overall: Overall I'm very satisfied with the price we pay, and the ability to complete items in an app with an output report on our template. ","Pros: The output template is the most important feature to us. This way we can use our existing forms, and create a report we can immediately send to a customer while still onsite. ","Cons: Sometimes the customer support doesn't know what I am talking about when building the forms.Building the forms is sometimes very confusing, and very tedious. The amount of time it takes to build a form sometimes is not worth the effort over using excel. Not being able to force sync from the home page of the app is a downfall. ","July 28, 2021"
CTO,"Construction, 51-200 employees",Used the software for: 6-12 months,"Pros: We were able to develop and deploy baseline functionality on our first project to help support what soon became a multifaceted, company-wide deployment of FOF across our enterprise. Ease of integration with tools like Salesforce and a responsive customer support team make this product a winner for anyone who needs to deploy a specialized field service app for construction, industrial, or environmental projects. ",Cons: The mobile design patterns are useful and utilitarian but they are somewhat limited and not customizable. This is the not the product to use if you want to highly customize the UI. This may be the case with most no/low code mobile app platforms as I do not have familiarity with many others.,"Alternatives Considered: BarCloud, GoCanvas and Salesforce Field Service","November 30, 2021"
General Manager,"Environmental Services, 11-50 employees",Used the software for: 2+ years,Overall: Switched form another mobile forms platform. Needed stable pricing for our business. Switch was seamless and made team more productive immediately. ,Pros: Implementation was intuitive and straightforward. Form building was easy to understand. Having a windows version made implementation and use more efficient.,Cons: In depth training opportunities would be helpful,"July 28, 2021"
Sales & Marketing,"Renewables & Environment, 11-50 employees",Used the software for: 6-12 months,"Overall: We needed a way to capture survey information from our engineers and have that data distributed to our designers and sales people to assess the results - many of our customers are in rural areas with no internet coverage, so the ability to work off-line was critical. We use the software on a regular basis and are able to instantly update the survey forms with engineer feedback for re-use within minutes.It has helped us conform to industry documentation requirements as well as provide consistent data for our designers to work with.",Pros: Easy to use and create sophisticated data entry forms for our engineers to capture customer data.The killer feature for us is the off-line ability to capture data and then upload automatically when next connected.Customer support is amazing!,"Cons: It does a whole lot more than we need, so it would be good to be able to use a simpler cut-down version","July 14, 2021"
